iter	Passed	Remaining
0	222	222119
1	224	111997
2	226	75354
3	229	57047
4	231	46128
5	234	38803
6	236	33529
7	238	29569
8	241	26562
9	243	24101
10	246	22125
11	248	20434
12	250	19021
13	256	18049
14	260	17112
15	263	16177
16	265	15339
17	268	14621
18	270	13964
19	272	13367
20	276	12871
21	279	12409
22	281	11961
23	283	11541
24	285	11151
25	288	10812
26	290	10478
27	294	10218
28	296	9940
29	298	9661
30	300	9407
31	303	9173
32	306	8979
33	309	8781
34	311	8590
35	315	8454
36	320	8352
37	323	8184
38	325	8027
39	328	7892
40	331	7747
41	333	7609
42	336	7482
43	338	7352
44	341	7251
45	347	7204
46	349	7089
47	351	6979
48	357	6928
49	359	6831
50	362	6744
51	367	6703
52	371	6642
53	374	6557
54	376	6475
55	384	6476
56	386	6401
57	389	6324
58	395	6314
59	398	6247
60	402	6194
61	405	6141
62	408	6077
63	412	6031
64	421	6064
65	424	6002
66	429	5981
67	432	5923
68	434	5862
69	438	5826
70	443	5797
71	446	5760
72	451	5727
73	454	5686
74	457	5638
75	461	5614
76	464	5564
77	466	5516
78	469	5474
79	474	5451
80	476	5404
81	478	5360
82	483	5338
83	487	5318
84	490	5277
85	492	5237
86	497	5223
87	499	5181
88	502	5141
89	505	5110
90	507	5073
91	510	5039
92	513	5010
93	516	4976
94	521	4966
95	524	4942
96	527	4906
97	532	4905
98	535	4877
99	538	4846
100	543	4833
101	547	4818
102	549	4785
103	552	4758
104	558	4762
105	561	4731
106	563	4702
107	567	4689
108	572	4676
109	574	4648
110	577	4622
111	582	4615
112	585	4594
113	588	4570
114	591	4548
115	593	4524
116	596	4499
117	598	4475
118	604	4473
119	606	4450
120	609	4426
121	613	4416
122	616	4393
123	618	4371
124	621	4349
125	623	4324
126	625	4302
127	630	4295
128	635	4289
129	639	4277
130	641	4257
131	644	4237
132	647	4219
133	650	4204
134	654	4190
135	657	4176
136	662	4173
137	666	4164
138	669	4144
139	672	4130
140	675	4112
141	677	4093
142	680	4080
143	685	4074
144	690	4073
145	693	4055
146	697	4050
147	701	4040
148	705	4030
149	710	4024
150	714	4018
151	718	4006
